"Modelo","a","b","V","H","G","L","N","S","J","Pmoi","Pbola","Npl","Nrl","Npm","Nrm","tetac","Pcp","Pplat","Dcp","Dplat","tipocorda","hl","ll","Dc","t","matcordas","Tec","Npend","Dcabolan","Dcabopend","Dcabomoi","teta","Pc","Pl","M","Lpend","Ljib","Sjib","CC1","CC2","CC3","CC4","D1","D2","D3","D4","Elan"
"National OS435 P-25 BE (140tf) LC 624935","3.68","9.97","0.81","0.81","0.48","42.38","0","0.05","1.473","703","216","10","10","6","6","45","0","0","0","0","C","1.6","1.6","0.115","0.01","ASTM A 514 Gr. H","111","2","0.025","0.0571","0.022","[0,15,22,27,31,35,38,41,44,47,50,53,55,58,60,62,65,67,69,71,73,76,78,80]","[11050,11640,12310,13020,13790,14620,15530,16510,17600,18790,20100,21570,23200,25040,27120,29510,32250,32250,32250,32250,32250,32250,32250,32250]","11202","21.19","16.76","1","0.5","0","0","0","0","0","0","0","0","200000000000"
"Patriot P17 42.73m [cadastro incompleto]","4.12","15","1.13","1.15","0.9","44.89","0","0.7225","2.04","1000","500","8","8","4","4","45","0","0","0","0","C","2.5","3","0.2191","0.0125","Não especificado","111","2","0.028","0.1","0.028","[0.,12.2,20.,25.5,30.1,34.0,37.6,40.9,44.0,46.9,49.7,52.3,54.9,57.4,59.8,62.2,64.5,66.7,69.0,71.2,73.3,75.4,77.6,79.6,80.9]","[17000,20500,23500,26000,28500,30500,33000,35000,37000,39500,42000,44500,46000,47000,48000,49000,50500,52000,53500,55000,57000,59000,60000,60000,60000]","17000","24.7","0.1","1","0.5","0","0","0","0","0","0","0","0","200000000000"
"Stalprodukter KHO 1537/7543 38.2m 2 pernadas no moitão","2.7","8.783","0","0.1","0.1","38.2","5","0.6","1.5","781","455","9","9","2","2","45","0","0","0","0","Q","2.19","1.2","0.2","0.01","NORSEC 360","360","2","0.026","1","0.022","[23.1,27.64,33.68,38.87,43.5,47.77,51.75,55.52,59.12,62.59,65.94,69.21,72.4,75.54,78.63,81.99]","[15000.,15000.,15000.,15000.,15000.,15000.,15000.,15000.,15000.,15000.,15000.,15000.,15000.,15000.,15000.,15000.]","23000","15.5","0.1","1","0.5","2155","2160","2020","0","3.44","3.44","6.87","0","200000000000"
"Stalprodukter KHO 1537/7543 38.2m 3 pernadas no moitão","2.7","8.783","0","0.1","0.1","38.2","5","0.6","1.5","781","455","9","9","3","2","45","0","0","0","0","Q","2.19","1.2","0.2","0.01","NORSEC 360","360","2","0.026","1","0.022","[22.55,28.38,34.33,39.44,44.03,48.25,52.20,55.93,59.50,62.94,66.26,69.50,72.67,75.78,78.84,82.62]","[15000,15500,16200,17000,17900,18900,20100,21400,23100,25000,25000,25000,25000,25000,25000,25000]","23000","15.5","0.1","1","0.5","2155","2160","2020","0","3.44","3.44","6.87","0","200000000000"
"Stalprodukter KHO 1532/0743 38.2m 2 pernadas no moitão","2.7","8.783","0","0.1","0.1","38.2","5","0.6","1.5","781","455","9","9","2","2","45","0","0","0","0","Q","2.19","1.2","0.2","0.01","NORSEC 360","360","2","0.026","1","0.024","[22.5,25.91,30.79,35.04,38.86,42.38,45.67,48.78,51.75,57.34,60.,62.58,66.76,69.21,71.61,73.97,76.31,78.63,80.92,83.20]","[11000,11600,12600,13800,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000]","22400","15.5","0.1","1","0.5","2155","2160","2020","0","3.44","3.44","6.87","0","200000000000"
"Stalprodukter KHO 1532/0743 31.4m 2 pernadas no moitão","2.7","8.783","0","0.1","0.1","31.4","5","0.6","1.5","781","455","9","9","2","2","45","0","0","0","0","Q","2.19","1.2","0.2","0.01","NORSEC 360","360","2","0.026","1","0.024","[17.53,20.50,27.53,31.37,36.42,40.91,45.01,48.83,52.43,55.85,58.06,61.27,64.37,67.4,70.35,73.25,76.11,78.92,81.71,83.18]","[15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000]","16000","15.35","0.1","1","0.5","2155","2160","2020","0","3.44","3.44","6.87","0","200000000000"
"Stalprodukter KHO 1838/0743 38.2m 2 pernadas no moitão","2.7","8.783","0","0.1","0.1","38.2","5","0","1.553","781","455","9","9","2","2","45","0","0","0","0","Q","2.19","1.2","0.2","0.01","NORSEC 360","360","2","0.03","1","0.024","[19.91,25.91,30.79,35.04,38.86,42.38,45.67,47.76,50.77,53.66,59.12,61.73,66.76,69.21,71.61,73.97,76.31,78.63,80.92,83.2]","[13600,14300,15100,15700,16400,17200,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000]","21922","15","0.1","1","0.5","2155","2160","2020","0","3.44","3.44","6.87","0","200000000000"
"National OS 435 HD 150ft (6 pernadas no moitão)","3.65","10.5","0.81","0.81","0.48","45.72","0","0.05","1.473","703","216","10","10","6","6","45","0","0","0","0","C","1.6","1.6","0.115","0.01","ASTM A 514 Gr. H","111","2","0.025","0.0571","0.022","[0.,15.,21.,26.,30.,33.,37.,40.,43.,45.,48.,51.,53.,55.,58.,60.,62.,64.,66.,68.,70.,72.,74.,76.,78.]","[12570,14870,15820,16410,17270,18180,19180,20250,21420,22700,24090,25510,27330,29220,31330,33160,34990,37030,39050,39960,40930,41920,42570,43450,44300]","11711","22.71","4.62","1","0.5","0","0","0","0","0","0","0","0","200000000000"
"HR GB 60M 31m com embreagem donuts","3.65","5.85","0.38","0.6","0.395","31","0","0","1.2","900","120","14","14","4","4","30","32000","0","2","0","C","1","1","0.09","0.0064","Não determinado","111","2","0.016","0.038","0.022","[0.,10.,20.,25.,30.,35.,40.,45.,50.,55.,60.,65.,70.,75.,80.]","[4081,5055,5800,6050,6300,6850,7400,8533,9100,10840,12000,14700,18150,18150,18150]","3869","18.5","23.7","1","0.5","0","0","0","0","0","0","0","0","200000000000"
"American 5750R 40ft","4.08","7.5","0.8","1.49","0.42","27.432","0.38","0.23","1.11","600","120","10","10","4","4","26.87","15200","13880","3.22","0.98","C","1.12","1.12","0.0825","0.0047","ASTM A 514 Gr B (Databook)","689","2","0.016","0.0317","0.022","[25.3, 33.9, 40.9, 47.0, 49.8, 52.5, 55.1, 57.6, 60.1, 62.5, 64.8, 67.1, 69.4, 71.6, 73.8, 75.9, 78.1,80.2, 80.9]","[6650, 7770, 8670, 9760, 10370, 11080, 11630, 12490, 13450, 14630, 15990, 17250, 18160, 19080, 20420,21590, 22930, 24490, 25020]","2450","13.86","17.678","1","0.5","0","0","0","0","0","0","0","0","200000000000"
"American 5750R 120ft (Bola Peso)","4.08","7.5","0.8","1.49","0.42","36.58","0.38","0.23","1.11","600","120","10","10","1","1","26.87","15600","16960","3.22","0.98","C","1.12","1.12","0.0825","0.0047","ASTM A 514 Gr B (Databook)","689","2","0.016","0.0317","0.022","[17.8,26.3,32.7,38.2,43,47.5,51.6,55.5,59.3,61.1,62.9,64.6,66.3,68,69.7,71.4,73,74.7,76.3,77.9,79.5,80.9]","[4120,4820,5390,5900,6410,6940,7500,7920,8320,8690,9050,9340,9610,9930,10230,10580,10960,11430,11600,11790,12900,13530]","3116","19.25","26.7","1","0.5","0","0","0","0","0","0","0","0","200000000000"
